=70	=70	=70	=70
4	0	0	-guer
4	0	0	aux
2	0	0	a-
4	0	0	-spi-
2	0	1	-rines
4	2	0	fa-
=71	=71	=71	=71
2	0	0	-con
4	0	0	Ma-
4	0	0	-ri-
2	0	1	-lyn
2	0	0	R
=72	=72	=72	=72
2	1	0	Hooo
2	0	0	R
1	0	0	R
=73	=73	=73	=73
2	0	0	faut
4	0	0	qu'j'me
4	0	0	su-
2	0	1	-pprime
2	0	0	R
=74	=74	=74	=74
0.5	0	0	R
=75	=75	=75	=75
0.5	0	0	R
=76	=76	=76	=76
0.5	0	0	R
=77	=77	=77	=77
0.5	0	0	R
=78	=78	=78	=78
0.5	0	0	R
=79	=79	=79	=79
0.5	0	0	R
=80	=80	=80	=80
0.5	0	0	R
=81	=81	=81	=81
0.5	0	0	R
=82	=82	=82	=82
0.5	0	0	R
=83	=83	=83	=83
0.5	0	0	R
=84	=84	=84	=84
0.5	0	0	R
=85	=85	=85	=85
1	0	0	R
2	0	0	R
8	0	0	R
*>Verse2	*>Verse2	*>Verse2	*>Verse2
4.	1	0	C'esr
=86	=86	=86	=86
4.	0	0	donc
4.	0	0	ca
4	0	0	la
2.	0	0	vie
4	2	0	c'est
=87	=87	=87	=87
3.2	0	0	pour
3.2	0	0	ca
4.	0	0	qu'on
2	0	1	bosse
2	0	0	R
=88	=88	=88	=88
2.	1	0	Voir
4	0	0	son
2.	0	1	gosse
4	0	0	trai-
=89	=89	=89	=89
4	0	0	-ner
2	0	0	dans
4..	0	0	l'quar-
4	0	1	Dans
3.2	1	0	R
4	0	0	une
=90	=90	=90	=90
2	0	0	R
2	0	0	poche
2	0	0	R
4	0	0	R
4	0	0	les
=91	=91	=91	=91
2	0	0	feuilles
4	0	0	O-
4	0	0	-C-
4	0	1	-B
4	1	0	Dans
2	0	0	une
=92	=92	=92	=92
4.	0	0	R
16	0	0	R
2	0	0	chau-
16	0	1	-sette
4.	0	0	R
16	0	0	R
4	0	0	la
4	0	0	bou-
16	0	1	-lette
=93	=93	=93	=93
8.	0	0	R
4	0	0	é-
4	0	0	R
3.2	0	0	-fri-
1.6	0	1	-ter
4.	1	0	Une
=94	=94	=94	=94
2	0	0	cage
4	0	0	d'e-
4	0	0	-sca-
2	0	1	-lier
4	0	0	et
4	0	0	le
=95	=95	=95	=95
4.	0	0	tout
4.	0	0	est
4	0	0	rou-
4..	0	1	-lé
16	1	0	Mais
2	0	0	R
=96	=96	=96	=96
4.	0	0	R
16	0	0	R
16	0	1	stone
2	0	0	R
1	0	0	R
=97	=97	=97	=97
4	2	0	le
1.7777777777777777	0	0	monde
1.4545454545454546	0	0	est
2	0	1	stone
=98	=98	=98	=98
1	0	0	R
2	0	0	R
4	1	0	Et
4	0	0	y'a
=99	=99	=99	=99
4.	0	0	plus
4.	0	0	d'couche
2	0	0	d'o-
3.2	0	1	-zone
4	1	0	Et
8.	0	0	les
=100	=100	=100	=100
4	0	0	R
2	0	0	seins
4	0	0	des
2.	0	0	meufs
4	0	0	sont
=101	=101	=101	=101
4..	0	0	en
3.2	0	0	si-
2	0	0	-lli-
4	0	1	-cone
2	0	0	R
=102	=102	=102	=102
4.	1	0	Tu
3.2	0	0	rêves
3.2	0	0	R
2	0	1	pez
2	0	0	R
=103	=103	=103	=103
4	0	0	R
4	2	0	fi-
4	0	0	-ni
4	0	0	le
2	0	1	guez
2	0	0	et
=104	=104	=104	=104
2	1	0	1
2	0	0	2
2	0	1	3
4	0	0	tu
4	0	0	m'em-
=105	=105	=105	=105
4..	0	0	-mènes
3.2	0	0	a-
2	0	0	-vec
4	0	1	toi
2	0	0	R
=106	=106	=106	=106
2	1	0	4
2	0	0	5
2.	0	1	6
4	0	0	cuei-
=107	=107	=107	=107
1.4545454545454546	0	0	-llir
3.2	0	0	R
2	0	1	vice
4.	0	0	R
16	0	0	R
16	1	0	7
=108	=108	=108	=108
4..	0	0	R
2	0	0	8
4..	0	1	9
4	0	0	dans
4	0	0	ton
8	0	0	ca-
=109	=109	=109	=109
8	0	0	R
3.2	0	0	-bri-
4	0	0	-o-
3.2	0	0	-let
1.6	0	1	neuf
4.	1	0	J'ai
=110	=110	=110	=110
4.	0	0	co-
4.	0	0	-nnu
4	0	0	les
2.	0	1	bandes
4	0	0	les
=111	=111	=111	=111
2.	0	1	gangs
4	1	0	Les
4.	0	0	meufs
4.	0	0	de
4	0	1	gang
=112	=112	=112	=112
4	0	0	R
2.	0	1	bang
4.	0	0	et
4.	0	0	les
4	0	0	gros
=113	=113	=113	=113
8	0	0	R
2..	0	1	bangs
2.	0	1	bang
4	0	1	bang
=114	=114	=114	=114
2	0	0	R
4	1	0	Dans
4	0	0	la
2	0	0	tête
2	0	0	R
=115	=115	=115	=115
4	0	0	de
4.	0	0	mes
3.2	0	0	a-
3.2	0	1	-mis
4	1	0	N'y
2	0	0	pense
=116	=116	=116	=116
2	0	0	R
2	0	0	même
2	0	0	pas
4	0	0	si
4	0	0	tu
=117	=117	=117	=117
4.	0	0	tiens
4.	0	0	à
4	0	0	ta
4.	0	1	vie
4	1	0	J'ai
4.	0	0	tro-
=118	=118	=118	=118
4.	0	0	-qué
4.	0	0	ma
4	0	0	fa-
1.6	0	1	-mille
4.	0	0	con-
=119	=119	=119	=119
4.	0	0	-tre
4.	0	0	ces
4	0	0	a-
4	0	1	-mis
4	1	0	Et
4	0	0	je
4	0	0	me
=120	=120	=120	=120
2	0	0	R
2	0	0	moque
1	0	0	R
=121	=121	=121	=121
4.	0	0	de
4.	0	0	ton
4	0	0	a-
2	0	1	-vis
2	1	0	J'veux
=122	=122	=122	=122
4	0	0	m'do-
4	0	0	-pper
2	0	0	R
2	0	0	R
8	0	0	R
4	0	0	à
8	0	0	la
=123	=123	=123	=123
8	0	0	R
4	0	0	Ma-
4	0	0	-ra-
4	0	0	-do-
4	0	1	-na
4	1	0	Car
4	0	0	je
8	0	0	suis
4	0	0	R
=124	=124	=124	=124
2	0	0	R
2..	0	0	triste
4.	0	0	comme
4	0	0	le
=125	=125	=125	=125
2	0	0	clown
4	0	0	Za-
4	0	0	-va-
2	0	1	-ta
2	0	0	R
=126	=126	=126	=126
0.5	0	0	R
=127	=127	=127	=127
0.5	0	0	R
=128	=128	=128	=128
0.5	0	0	R
=129	=129	=129	=129
0.5	0	0	R
=130	=130	=130	=130
0.5	0	0	R
=131	=131	=131	=131
0.5	0	0	R
=132	=132	=132	=132
0.5	0	0	R
=133	=133	=133	=133
0.5	0	0	R
=134	=134	=134	=134
0.5	0	0	R
=135	=135	=135	=135
0.5	0	0	R
=136	=136	=136	=136
0.5	0	0	R
=137	=137	=137	=137
1	0	0	R
2	0	0	R
*>Verse3	*>Verse3	*>Verse3	*>Verse3
4	1	0	Le
4	0	0	do-
=138	=138	=138	=138
2	0	0	R
2	0	1	-cteur
2	0	0	R
4	0	0	ne
4	0	0	joue
=139	=139	=139	=139
4.	0	0	plus
4.	0	0	au
4	0	0	frau-
2.	0	1	-deur
4	1	0	J'a-
=140	=140	=140	=140
4	0	0	R
4..	0	0	-chète
3.2	0	0	des
4	0	0	ti-
4	0	0	-ckets
2	0	0	R
=141	=141	=141	=141
4.	0	0	par
4.	0	0	sim-
4	0	0	-ple
2.	0	1	peur
4	1	0	D'a-
=142	=142	=142	=142
4	0	0	R
4	0	0	-voir
4	0	0	à
4	0	0	bu-
2	0	0	-ter
2	0	0	R
=143	=143	=143	=143
3.2	0	0	un
4.	0	0	con-
3.2	0	0	R
2	0	1	-leur
4	1	0	Je
4	0	0	flirt
=144	=144	=144	=144
4	0	0	R
4	0	0	a-
4	0	0	-vec
4	0	0	le
2	0	0	meurtre
4	2	0	je
4	0	0	flirt
=145	=145	=145	=145
4	0	0	R
4	0	0	a-
4	0	0	-vec
4	0	0	mon
4	0	0	sui-
4	0	1	-cide
2	0	0	R
=146	=146	=146	=146
2	1	0	Vive
4	0	0	le
4	0	0	vo-
2	0	0	-lon-
2	0	0	-taire
=147	=147	=147	=147
4	0	0	R
4.	0	0	ho-
4.	0	0	-mi-
2.	0	1	-cide
4	1	0	Je
=148	=148	=148	=148
4.	0	0	n'crois
3.2	0	0	plus
3.2	0	0	en
1.4545454545454546	0	1	Dieu
3.2	0	0	et
=149	=149	=149	=149
4.	0	0	de-
4	0	0	-viens
4.	0	0	ner-
2..	0	1	-veux
8	1	0	A-
=150	=150	=150	=150
4.	0	0	R
4.	0	1	-llah
4.	0	0	Krich-
1.7777777777777777	0	1	-na
3.2	0	0	R
=151	=151	=151	=151
4	0	1	-ddah
4	0	0	ou
4	0	0	Jé-
4	0	0	-o-
2.	0	1	-vah
4	1	0	Moi
=152	=152	=152	=152
2.	0	0	j'o-
4	0	0	-pte
2.	0	0	pour
4	0	0	ma
=153	=153	=153	=153
2	0	0	paire
4	0	0	de
4	0	0	Pu-
8	0	0	-ma
4	0	0	R
4	0	0	R
4	1	0	Elle
=154	=154	=154	=154
4	0	0	R
4	0	0	gui-
4	0	0	-de
4	0	0	mes
1	0	1	pas
=155	=155	=155	=155
4.	0	0	R
2..	0	0	à
2	0	1	pas
