**recip	**break	**rhyme	**lyrics
=1	=1	=1	=1
8	.	.	-mules
16	.	.	trop
16	.	.	saou-
16	.	.	-lées
16	.	.	en-
16	.	.	-fin
16	.	.	faut
8	.	A	croire
16	4	.	Que
16	.	.	mon
=32	=32	=32	=32
16	.	.	père
16	.	.	a
16	.	.	con-
16	.	.	-tri-
8	.	A	-buer
16	.	.	à
16	.	.	me
16	.	.	lier
16	.	.	a-
16	.	.	-vec
16	.	.	la
8	.	A	rue
8	4	.	J'ai
=33	=33	=33	=33
16	.	A	eu
16	.	.	l'i-
16	.	.	-llu-
8	.	.	-sion
16	.	.	de
16.	.	.	trou-
16	.	A	-ver
16.	.	.	mieux
16.	.	.	j'ai
32	.	A	vu
8.	.	.	.
16	4	.	Ce
=34	=34	=34	=34
16	.	.	qu'un
16	.	.	ga-
16	.	.	-min
16	.	.	de
16	.	.	qua-
16	.	.	-torze
16	.	.	ans
16	.	.	a-
16	.	.	-vec
16	.	.	le
16	.	.	dé-
16	.	.	-ca-
8	.	A	-lage
16	.	.	de
16	.	A	l'age
=35	=35	=35	=35
16.	4	.	Peut
16.	.	.	en-
16	.	.	-tre-
8..	.	.	-voir
16	.	.	C'é-
16	.	.	-tait
16	.	.	comme
16	.	.	un
16	.	.	mi-
8..	.	A	-rage
=36	=36	=36	=36
16.	4	.	Plus
16.	.	.	d'in-
16	.	.	-ter-
16.	.	A	-dit
16.	3	.	juste
16	.	.	a-
16	.	.	-voir
16	.	.	les
16	.	.	dents
8	.	.	a-
16	.	.	-ssez
8	.	A	longues
=37	=37	=37	=37
16	4	.	Pour
16	.	.	cro-
16	.	.	-quer
16	.	.	la
16.	.	A	vie
16.	4	.	pro-
16	.	.	-fi-
16	.	.	-ter
16	.	.	de
16.	.	.	tout
16.	.	.	c'qui
8	.	A	tombe
16	4	.	La
=38	=38	=38	=38
16	.	.	rue
16	.	.	a
16	.	.	su
16	.	.	me
16	.	.	prendre
16	.	.	car
16	.	.	elle
16	.	.	me
16	.	.	fai-
16	.	.	-sait
16	.	.	con-
16	.	A	-fiance
8	.	.	.
8	4	.	Chose
=39	=39	=39	=39
16	.	.	qui
16	.	.	a-
16	.	.	-vec
16	.	.	mon
16	.	.	père
16	.	.	é-
16	.	.	-tait
16	.	.	comme
16	.	.	de
16	.	.	la
16	.	.	nui-
16	.	A	-sance
8	.	.	.
16	4	.	Au-
16	.	.	-cun
=40	=40	=40	=40
16	.	.	d'entre
16	.	.	nous
16	.	.	n'a
16	.	.	vou-
8	.	.	-lu
16	.	.	re-
16	.	.	-co-
16	.	.	-ller
16	.	.	les
16	.	.	mor-
8	.	A	-ceaux
16	4	.	Toute
16	.	.	ten-
16	.	.	-ta-
=41	=41	=41	=41
8	.	.	-tive
16	.	.	nous
16	.	.	mon-
16	.	.	-trait
16	.	.	qu'on
16	.	.	a-
16	.	.	-vait
16	.	.	vrai-
16	.	.	-ment
8	.	.	trop
16	.	.	d'é-
8	.	A	-go
16	4	.	Mon
=42	=42	=42	=42
16	.	.	père
16	.	.	n'é-
16	.	.	-tait
16	.	.	pas
16	.	.	chan-
16	.	.	-teur
16	.	.	il
16	.	.	ai-
16	.	.	-mait
16	.	.	les
16	.	.	sales
16	.	.	ren-
8	.	.	-gaines
16	4	.	Sur-
16	.	.	-tout
=43	=43	=43	=43
8	.	.	celles
16	.	.	qui
16	.	.	vous
16	.	.	tapent
16	.	.	comme
16	.	.	un
16	.	.	grand
16	.	.	coup
16	.	.	d'su-
16	.	.	-rin
16	.	.	en
8	.	.	pleine
16	.	.	poi-
16	.	A	-trine
=44	=44	=44	=44
16	4	.	En
16	.	.	croy-
16	.	.	-ant
16	.	.	la
16.	.	.	jouer
16.	.	A	fine
16	.	.	il
16	.	.	ne
16	.	.	vou-
16.	.	.	-lait
16.	.	.	pas
16	.	.	ne
16	.	.	cher-
16	.	.	-chait
=45	=45	=45	=45
16	.	.	meme
8	.	.	pas
16	4	.	a-
16	.	.	-rran-
16	.	.	-ger
16	.	.	ce
16	.	.	pu-
16	.	.	-tain
16	.	.	d'or-
16	.	.	-gueil
16	.	.	qui
16	.	.	tran-
16	.	.	-chait
16	.	.	les
16	.	.	liens
=46	=46	=46	=46
16	.	.	.
16	.	.	fa-
16	.	.	-mi-
8	.	.	-liaux
16	4	.	Chaque
16	.	.	jour
16	.	.	un
8	.	.	peu
8.	.	A	plus
16	4	.	J'a-
16	.	.	-vais
16	.	.	pas
=47	=47	=47	=47
16	.	.	l'im-
16	.	.	-pre-
16	.	.	-ssion
16	.	.	d'etre
16	.	.	plus
16	.	.	co-
16	.	.	-té
16	.	.	qu'une
16	.	.	caisse
16	.	.	à
16	.	.	l'ar-
8	.	A	-gus
16	4	.	Donc
16	.	.	j'ai
16	.	.	du
=48	=48	=48	=48
16.	.	.	re-
16.	.	.	-non-
8	.	.	-cer
16	3	.	trou-
16	.	.	-ver
16	.	.	mes
16	.	.	pro-
16	.	.	-pres
16	.	.	com-
8	.	A	-plices
16	4	.	Mes
16	.	.	par-
16	.	.	-te-
=49	=49	=49	=49
16	.	.	.
16	.	.	-naires
16	.	.	de
8	.	A	glisse
16	3	.	dé-
16	.	.	-so-
16	.	.	-lé
16	.	.	si
